,hiddenNeurons,denseSize,predictionDays,epochNo,batchSize,RMSE,R^2,LSTM
0,20,25,55,50,32,5.706037575151313,0.8847146135819586,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  119.415878
2021-03-15  123.989998  119.847420
2021-03-16  125.570000  120.880562
2021-03-17  124.760002  122.299454
2021-03-18  120.529999  123.389786
...                ...         ...
2022-03-04  163.169998  158.262329
2022-03-07  159.300003  158.254181
2022-03-08  157.440002  156.961456
2022-03-09  162.949997  155.088120
2022-03-10  158.520004  154.886932

[252 rows x 2 columns]"
1,20,25,55,50,64,6.351002022494401,0.8571798426493763,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  119.947540
2021-03-15  123.989998  119.896439
2021-03-16  125.570000  120.181549
2021-03-17  124.760002  120.790070
2021-03-18  120.529999  121.505028
...                ...         ...
2022-03-04  163.169998  156.524353
2022-03-07  159.300003  156.428513
2022-03-08  157.440002  156.041245
2022-03-09  162.949997  155.376770
2022-03-10  158.520004  154.997498

[252 rows x 2 columns]"
2,20,25,55,50,128,8.781739724304671,0.7269349437976153,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  121.624641
2021-03-15  123.989998  121.305008
2021-03-16  125.570000  121.224815
2021-03-17  124.760002  121.370110
2021-03-18  120.529999  121.611153
...                ...         ...
2022-03-04  163.169998  154.381531
2022-03-07  159.300003  154.125595
2022-03-08  157.440002  153.692596
2022-03-09  162.949997  153.121353
2022-03-10  158.520004  152.776077

[252 rows x 2 columns]"
3,20,25,55,100,32,4.072262570297905,0.9412812840075824,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  121.821030
2021-03-15  123.989998  122.164642
2021-03-16  125.570000  123.703484
2021-03-17  124.760002  125.462929
2021-03-18  120.529999  125.980324
...                ...         ...
2022-03-04  163.169998  162.155609
2022-03-07  159.300003  160.492584
2022-03-08  157.440002  157.323715
2022-03-09  162.949997  154.804459
2022-03-10  158.520004  157.015625

[252 rows x 2 columns]"
4,20,25,55,100,64,5.056747778137346,0.9094585198909642,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  120.606667
2021-03-15  123.989998  120.991966
2021-03-16  125.570000  122.007607
2021-03-17  124.760002  123.400742
2021-03-18  120.529999  124.470970
...                ...         ...
2022-03-04  163.169998  159.065598
2022-03-07  159.300003  159.023712
2022-03-08  157.440002  157.712418
2022-03-09  162.949997  155.884140
2022-03-10  158.520004  155.821381

[252 rows x 2 columns]"
5,20,25,55,100,128,5.786713452000152,0.8814315998598167,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  119.711197
2021-03-15  123.989998  119.813583
2021-03-16  125.570000  120.352287
2021-03-17  124.760002  121.251579
2021-03-18  120.529999  122.154121
...                ...         ...
2022-03-04  163.169998  156.531189
2022-03-07  159.300003  156.496155
2022-03-08  157.440002  155.933807
2022-03-09  162.949997  155.003662
2022-03-10  158.520004  154.679993

[252 rows x 2 columns]"
6,20,25,55,150,32,2.800588190135583,0.9722282331040295,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  122.085625
2021-03-15  123.989998  121.364197
2021-03-16  125.570000  123.664742
2021-03-17  124.760002  125.475121
2021-03-18  120.529999  124.779716
...                ...         ...
2022-03-04  163.169998  163.885757
2022-03-07  159.300003  160.585693
2022-03-08  157.440002  156.817352
2022-03-09  162.949997  155.449326
2022-03-10  158.520004  161.436264

[252 rows x 2 columns]"
7,20,25,55,150,64,3.651911877506855,0.9527778687864856,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  121.897209
2021-03-15  123.989998  122.351868
2021-03-16  125.570000  123.744423
2021-03-17  124.760002  125.455551
2021-03-18  120.529999  126.166588
...                ...         ...
2022-03-04  163.169998  162.746201
2022-03-07  159.300003  161.532791
2022-03-08  157.440002  158.641312
2022-03-09  162.949997  155.966446
2022-03-10  158.520004  157.350845

[252 rows x 2 columns]"
8,20,25,55,150,128,5.874064720878821,0.8778249684813502,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  118.056747
2021-03-15  123.989998  118.273399
2021-03-16  125.570000  118.994331
2021-03-17  124.760002  120.094254
2021-03-18  120.529999  121.107132
...                ...         ...
2022-03-04  163.169998  157.221832
2022-03-07  159.300003  157.287048
2022-03-08  157.440002  156.556442
2022-03-09  162.949997  155.341370
2022-03-10  158.520004  155.046127

[252 rows x 2 columns]"
9,20,25,60,50,32,5.303152368440281,0.9004197491993406,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  121.077820
2021-03-15  123.989998  121.238159
2021-03-16  125.570000  121.877922
2021-03-17  124.760002  122.880798
2021-03-18  120.529999  123.822952
...                ...         ...
2022-03-04  163.169998  157.953232
2022-03-07  159.300003  158.114243
2022-03-08  157.440002  157.569855
2022-03-09  162.949997  156.569733
2022-03-10  158.520004  156.334518

[252 rows x 2 columns]"
10,20,25,60,50,64,6.1371622299505875,0.86663550883294,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  119.578880
2021-03-15  123.989998  119.404472
2021-03-16  125.570000  119.542946
2021-03-17  124.760002  119.985916
2021-03-18  120.529999  120.555412
...                ...         ...
2022-03-04  163.169998  157.564392
2022-03-07  159.300003  157.347458
2022-03-08  157.440002  156.878983
2022-03-09  162.949997  156.179474
2022-03-10  158.520004  155.760147

[252 rows x 2 columns]"
11,20,25,60,50,128,7.561114263397492,0.7975691925297571,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  120.257874
2021-03-15  123.989998  120.039101
2021-03-16  125.570000  120.103760
2021-03-17  124.760002  120.445885
2021-03-18  120.529999  120.909874
...                ...         ...
2022-03-04  163.169998  156.488571
2022-03-07  159.300003  156.200577
2022-03-08  157.440002  155.720749
2022-03-09  162.949997  155.075470
2022-03-10  158.520004  154.649261

[252 rows x 2 columns]"
12,20,25,60,100,32,3.8316228831473875,0.9480159009267731,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  121.444588
2021-03-15  123.989998  121.868797
2021-03-16  125.570000  123.329475
2021-03-17  124.760002  125.043610
2021-03-18  120.529999  125.610710
...                ...         ...
2022-03-04  163.169998  162.353622
2022-03-07  159.300003  160.892487
2022-03-08  157.440002  157.841080
2022-03-09  162.949997  155.211609
2022-03-10  158.520004  156.961166

[252 rows x 2 columns]"
13,20,25,60,100,64,8.161808307021165,0.7641272415141405,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  118.631271
2021-03-15  123.989998  118.846756
2021-03-16  125.570000  119.546249
2021-03-17  124.760002  120.599533
2021-03-18  120.529999  121.576424
...                ...         ...
2022-03-04  163.169998  153.305862
2022-03-07  159.300003  153.396088
2022-03-08  157.440002  152.761993
2022-03-09  162.949997  151.689056
2022-03-10  158.520004  151.462784

[252 rows x 2 columns]"
14,20,25,60,100,128,3.9931880273689924,0.9435395252298073,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  120.466728
2021-03-15  123.989998  120.782715
2021-03-16  125.570000  121.649391
2021-03-17  124.760002  122.918205
2021-03-18  120.529999  124.023392
...                ...         ...
2022-03-04  163.169998  160.324707
2022-03-07  159.300003  160.601059
2022-03-08  157.440002  159.811737
2022-03-09  162.949997  158.353760
2022-03-10  158.520004  157.990021

[252 rows x 2 columns]"
15,20,25,60,150,32,3.717344694157199,0.9510705119492221,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  122.199615
2021-03-15  123.989998  121.561478
2021-03-16  125.570000  123.610504
2021-03-17  124.760002  125.641624
2021-03-18  120.529999  125.149109
...                ...         ...
2022-03-04  163.169998  162.068436
2022-03-07  159.300003  158.796829
2022-03-08  157.440002  154.906891
2022-03-09  162.949997  153.694107
2022-03-10  158.520004  159.597656

[252 rows x 2 columns]"
16,20,25,60,150,64,5.759344885944318,0.8825504986294403,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  119.608337
2021-03-15  123.989998  119.983597
2021-03-16  125.570000  121.476128
2021-03-17  124.760002  123.204147
2021-03-18  120.529999  123.744308
...                ...         ...
2022-03-04  163.169998  159.205658
2022-03-07  159.300003  157.589127
2022-03-08  157.440002  154.347458
2022-03-09  162.949997  151.661621
2022-03-10  158.520004  153.728928

[252 rows x 2 columns]"
17,20,25,60,150,128,6.776383420651054,0.8374073357120859,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  119.052086
2021-03-15  123.989998  119.352814
2021-03-16  125.570000  120.183464
2021-03-17  124.760002  121.386398
2021-03-18  120.529999  122.432755
...                ...         ...
2022-03-04  163.169998  155.635239
2022-03-07  159.300003  155.783890
2022-03-08  157.440002  154.994858
2022-03-09  162.949997  153.673203
2022-03-10  158.520004  153.440598

[252 rows x 2 columns]"
18,20,25,65,50,32,4.648181456914697,0.9234982882456223,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  119.274002
2021-03-15  123.989998  119.689842
2021-03-16  125.570000  120.776054
2021-03-17  124.760002  122.238403
2021-03-18  120.529999  123.251610
...                ...         ...
2022-03-04  163.169998  160.170563
2022-03-07  159.300003  159.906662
2022-03-08  157.440002  158.372604
2022-03-09  162.949997  156.413925
2022-03-10  158.520004  156.429993

[252 rows x 2 columns]"
19,20,25,65,50,64,5.796439991634496,0.8810326758502173,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  119.088089
2021-03-15  123.989998  119.092484
2021-03-16  125.570000  119.521378
2021-03-17  124.760002  120.280754
2021-03-18  120.529999  121.052383
...                ...         ...
2022-03-04  163.169998  157.262619
2022-03-07  159.300003  157.103317
2022-03-08  157.440002  156.461197
2022-03-09  162.949997  155.521347
2022-03-10  158.520004  155.240021

[252 rows x 2 columns]"
20,20,25,65,50,128,6.878182850534739,0.8324854869964959,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  119.980995
2021-03-15  123.989998  119.731216
2021-03-16  125.570000  119.775902
2021-03-17  124.760002  120.095901
2021-03-18  120.529999  120.506775
...                ...         ...
2022-03-04  163.169998  157.506165
2022-03-07  159.300003  157.246017
2022-03-08  157.440002  156.727814
2022-03-09  162.949997  156.001358
2022-03-10  158.520004  155.562881

[252 rows x 2 columns]"
21,20,25,65,100,32,3.5975156857473958,0.9541741638928987,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  122.597847
2021-03-15  123.989998  122.426079
2021-03-16  125.570000  124.408669
2021-03-17  124.760002  126.203888
2021-03-18  120.529999  126.099754
...                ...         ...
2022-03-04  163.169998  162.434937
2022-03-07  159.300003  159.751160
2022-03-08  157.440002  156.131287
2022-03-09  162.949997  154.245911
2022-03-10  158.520004  158.972565

[252 rows x 2 columns]"
22,20,25,65,100,64,7.832986905344943,0.7827499894683198,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  117.865555
2021-03-15  123.989998  118.241547
2021-03-16  125.570000  119.161232
2021-03-17  124.760002  120.461594
2021-03-18  120.529999  121.553642
...                ...         ...
2022-03-04  163.169998  154.468155
2022-03-07  159.300003  154.569275
2022-03-08  157.440002  153.630035
2022-03-09  162.949997  152.135666
2022-03-10  158.520004  151.881363

[252 rows x 2 columns]"
23,20,25,65,100,128,4.667965942824403,0.9228456596089559,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  120.477455
2021-03-15  123.989998  120.590103
2021-03-16  125.570000  121.162140
2021-03-17  124.760002  122.097321
2021-03-18  120.529999  123.014534
...                ...         ...
2022-03-04  163.169998  158.901749
2022-03-07  159.300003  158.889862
2022-03-08  157.440002  158.252914
2022-03-09  162.949997  157.208115
2022-03-10  158.520004  156.886978

[252 rows x 2 columns]"
24,20,25,65,150,32,3.896950504626013,0.946228173979524,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  121.568146
2021-03-15  123.989998  121.084724
2021-03-16  125.570000  123.110641
2021-03-17  124.760002  124.900604
2021-03-18  120.529999  124.418274
...                ...         ...
2022-03-04  163.169998  162.030304
2022-03-07  159.300003  158.868500
2022-03-08  157.440002  155.097519
2022-03-09  162.949997  153.560516
2022-03-10  158.520004  159.101303

[252 rows x 2 columns]"
25,20,25,65,150,64,6.115834509124577,0.8675608284519978,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  120.068260
2021-03-15  123.989998  120.498459
2021-03-16  125.570000  121.610489
2021-03-17  124.760002  123.083817
2021-03-18  120.529999  124.084305
...                ...         ...
2022-03-04  163.169998  158.342667
2022-03-07  159.300003  158.084488
2022-03-08  157.440002  156.423386
2022-03-09  162.949997  154.294617
2022-03-10  158.520004  154.255325

[252 rows x 2 columns]"
26,20,25,65,150,128,6.422813380282458,0.853931822017811,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  120.313568
2021-03-15  123.989998  120.538391
2021-03-16  125.570000  121.267960
2021-03-17  124.760002  122.360229
2021-03-18  120.529999  123.356026
...                ...         ...
2022-03-04  163.169998  155.960007
2022-03-07  159.300003  156.035034
2022-03-08  157.440002  155.393768
2022-03-09  162.949997  154.326614
2022-03-10  158.520004  154.115784

[252 rows x 2 columns]"
